CaI	IP3	CaS	g	C	D	Robustness
0.1	0.05	1100.0	0.0	0.69375	2.25	-88.07554
0.1	0.05	1100.0	0.0	0.69375	2.28125	-88.15796
0.1	0.05	1100.0	0.0	0.69375	2.296875	-88.09283
0.1	0.05	1100.0	0.0	0.69375	2.3125	-82.11799
0.1	0.05	1100.0	0.0	0.69375	2.34375	-45.531075
0.1	0.05	1100.0	0.0	0.69375	2.359375	-27.1986
0.1	0.05	1100.0	0.0	0.69375	2.375	-12.237366
0.1	0.05	1100.0	0.0	0.69375	2.390625	-4.750778
0.1	0.05	1100.0	0.0	0.69375	2.40625	-6.70961
0.1	0.05	1100.0	0.0	0.69375	2.421875	-7.4154816
0.1	0.05	1100.0	0.0	0.69375	2.4375	-6.5225677
0.1	0.05	1100.0	0.0	0.69375	2.453125	-7.0716476
0.1	0.05	1100.0	0.0	0.69375	2.46875	-8.889465
0.1	0.05	1100.0	0.0	0.69375	2.484375	-9.765854
0.1	0.05	1100.0	0.0	0.69375	2.5	-9.015968
0.1	0.05	1100.0	0.0	0.709375	1.5	-34.995857
0.1	0.05	1100.0	0.0	0.709375	1.515625	-37.698257
0.1	0.05	1100.0	0.0	0.709375	1.53125	-57.6536
0.1	0.05	1100.0	0.0	0.709375	1.546875	-63.06799
0.1	0.05	1100.0	0.0	0.709375	1.5625	-68.31867
0.1	0.05	1100.0	0.0	0.709375	1.578125	-73.63835
0.1	0.05	1100.0	0.0	0.709375	1.59375	-76.36695
0.1	0.05	1100.0	0.0	0.709375	1.609375	-78.48509
0.1	0.05	1100.0	0.0	0.709375	1.625	-81.02187
0.1	0.05	1100.0	0.0	0.709375	1.640625	-81.17607
0.1	0.05	1100.0	0.0	0.709375	1.65625	-82.78469
0.1	0.05	1100.0	0.0	0.709375	1.671875	-82.9012
0.1	0.05	1100.0	0.0	0.709375	1.6875	-84.03098
0.1	0.05	1100.0	0.0	0.709375	1.703125	-84.12592
0.1	0.05	1100.0	0.0	0.709375	1.71875	-84.97834
0.1	0.05	1100.0	0.0	0.709375	1.734375	-85.05966
0.1	0.05	1100.0	0.0	0.709375	1.75	-85.14918
0.1	0.05	1100.0	0.0	0.709375	1.765625	-85.808846
0.1	0.05	1100.0	0.0	0.709375	1.78125	-85.885376
0.1	0.05	1100.0	0.0	0.709375	1.796875	-85.96538
0.1	0.05	1100.0	0.0	0.709375	1.8125	-86.49509
