CaI	IP3	CaS	g	k1	k2	Robustness
0.1	0.05	1100.0	0.0	0.43749997	0.140625	-0.028115183
0.1	0.05	1100.0	0.0	0.43749997	0.1421875	-0.041911453
0.1	0.05	1100.0	0.0	0.43749997	0.14375	-0.040184915
0.1	0.05	1100.0	0.0	0.43749997	0.1453125	-0.04998824
0.1	0.05	1100.0	0.0	0.43749997	0.146875	-0.06416586
0.1	0.05	1100.0	0.0	0.43749997	0.1484375	-0.06671679
0.1	0.05	1100.0	0.0	0.43749997	0.15	-0.07598731
0.1	0.05	1100.0	0.0	0.43749997	0.1515625	-0.06752595
0.1	0.05	1100.0	0.0	0.43749997	0.153125	-0.08212975
0.1	0.05	1100.0	0.0	0.43749997	0.1546875	-0.08507645
0.1	0.05	1100.0	0.0	0.43749997	0.15625	-0.095128864
0.1	0.05	1100.0	0.0	0.43749997	0.1578125	-0.106660634
0.1	0.05	1100.0	0.0	0.43749997	0.159375	-0.10173759
0.1	0.05	1100.0	0.0	0.43749997	0.1609375	-0.11684927
0.1	0.05	1100.0	0.0	0.43749997	0.1625	-0.117206305
0.1	0.05	1100.0	0.0	0.43749997	0.1640625	-0.12739816
0.1	0.05	1100.0	0.0	0.43749997	0.165625	-0.12282398
0.1	0.05	1100.0	0.0	0.43749997	0.16718751	-0.13053039
0.1	0.05	1100.0	0.0	0.43749997	0.16875	-0.14194122
0.1	0.05	1100.0	0.0	0.43749997	0.1703125	-0.13353685
0.1	0.05	1100.0	0.0	0.43749997	0.171875	-0.14523825
0.1	0.05	1100.0	0.0	0.43749997	0.1734375	-0.14107242
0.1	0.05	1100.0	0.0	0.43749997	0.17500001	-0.15690878
0.1	0.05	1100.0	0.0	0.43749997	0.1765625	-0.16119745
0.1	0.05	1100.0	0.0	0.43749997	0.178125	-0.16886088
0.1	0.05	1100.0	0.0	0.43749997	0.1796875	-0.16584662
0.1	0.05	1100.0	0.0	0.43749997	0.18125	-0.16112879
0.1	0.05	1100.0	0.0	0.43749997	0.18281251	-0.17730233
0.1	0.05	1100.0	0.0	0.43749997	0.184375	-0.17387167
0.1	0.05	1100.0	0.0	0.43749997	0.1859375	-0.17658618
0.1	0.05	1100.0	0.0	0.43749997	0.1875	-0.18953004
0.1	0.05	1100.0	0.0	0.43749997	0.1890625	-0.18261829
0.1	0.05	1100.0	0.0	0.43749997	0.19062501	-0.19228336
0.1	0.05	1100.0	0.0	0.43749997	0.1921875	-0.18905488
0.1	0.05	1100.0	0.0	0.44999996	0.10625	0.03790538
0.1	0.05	1100.0	0.0	0.44999996	0.1078125	0.037522614
0.1	0.05	1100.0	0.0	0.44999996	0.109375	0.033893973
0.1	0.05	1100.0	0.0	0.44999996	0.1109375	0.03364815
0.1	0.05	1100.0	0.0	0.44999996	0.112500004	0.02971822
0.1	0.05	1100.0	0.0	0.44999996	0.1140625	0.028814971
0.1	0.05	1100.0	0.0	0.44999996	0.115625	0.026815712
0.1	0.05	1100.0	0.0	0.44999996	0.1171875	0.024409592
0.1	0.05	1100.0	0.0	0.44999996	0.118750006	0.022306442
0.1	0.05	1100.0	0.0	0.44999996	0.120312504	0.020642102
0.1	0.05	1100.0	0.0	0.44999996	0.121875	0.019052044
0.1	0.05	1100.0	0.0	0.44999996	0.1234375	0.016827837
0.1	0.05	1100.0	0.0	0.44999996	0.125	0.016149193
0.1	0.05	1100.0	0.0	0.44999996	0.1265625	0.0123206675
0.1	0.05	1100.0	0.0	0.44999996	0.128125	0.013492495
0.1	0.05	1100.0	0.0	0.44999996	0.1296875	0.007730603
0.1	0.05	1100.0	0.0	0.44999996	0.13125	0.006340176
0.1	0.05	1100.0	0.0	0.44999996	0.1328125	0.0031046122
0.1	0.05	1100.0	0.0	0.44999996	0.134375	0.0024011135
0.1	0.05	1100.0	0.0	0.44999996	0.1359375	-0.0014999807
0.1	0.05	1100.0	0.0	0.44999996	0.1375	0.0011531711
0.1	0.05	1100.0	0.0	0.44999996	0.1390625	-0.006012276
0.1	0.05	1100.0	0.0	0.44999996	0.140625	-0.009166688
0.1	0.05	1100.0	0.0	0.44999996	0.1421875	-0.0181202
0.1	0.05	1100.0	0.0	0.44999996	0.14375	-0.011768371
0.1	0.05	1100.0	0.0	0.44999996	0.1453125	-0.025449187
0.1	0.05	1100.0	0.0	0.44999996	0.146875	-0.024507403
0.1	0.05	1100.0	0.0	0.44999996	0.1484375	-0.033275515
0.1	0.05	1100.0	0.0	0.44999996	0.15	-0.047326893
0.1	0.05	1100.0	0.0	0.44999996	0.1515625	-0.050403446
0.1	0.05	1100.0	0.0	0.44999996	0.153125	-0.05945927
0.1	0.05	1100.0	0.0	0.44999996	0.1546875	-0.050329834
0.1	0.05	1100.0	0.0	0.44999996	0.15625	-0.06480101
0.1	0.05	1100.0	0.0	0.44999996	0.1578125	-0.07939568
0.1	0.05	1100.0	0.0	0.44999996	0.159375	-0.077744424
0.1	0.05	1100.0	0.0	0.44999996	0.1609375	-0.08895904
0.1	0.05	1100.0	0.0	0.44999996	0.1625	-0.08392331
0.1	0.05	1100.0	0.0	0.44999996	0.1640625	-0.098896384
0.1	0.05	1100.0	0.0	0.44999996	0.165625	-0.09895897
0.1	0.05	1100.0	0.0	0.44999996	0.16718751	-0.10967663
0.1	0.05	1100.0	0.0	0.44999996	0.16875	-0.1045222
0.1	0.05	1100.0	0.0	0.44999996	0.1703125	-0.11984888
0.1	0.05	1100.0	0.0	0.44999996	0.171875	-0.122832686
0.1	0.05	1100.0	0.0	0.44999996	0.1734375	-0.13082102
